Date,ETF,ETF
2015-03-30,SPY,SPY
2015-03-30,MTUM,MTUM
2015-03-30,VLUE,VLUE
2015-03-30,USMV,USMV
2015-03-30,EFA,EFA
2015-03-31,SPY,SPY
2015-03-31,MTUM,MTUM
2015-03-31,VLUE,VLUE
2015-03-31,USMV,USMV
2015-03-31,EFA,EFA
2015-04-01,SPY,SPY
2015-04-01,MTUM,MTUM
2015-04-01,VLUE,VLUE
2015-04-01,USMV,USMV
2015-04-01,EFA,EFA
2015-04-02,SPY,SPY
2015-04-02,MTUM,MTUM
2015-04-02,VLUE,VLUE
2015-04-02,USMV,USMV
2015-04-02,EFA,EFA
2015-04-06,SPY,SPY
2015-04-06,MTUM,MTUM
2015-04-06,VLUE,VLUE
2015-04-06,USMV,USMV
2015-04-06,EFA,EFA
2015-04-07,SPY,SPY
2015-04-07,MTUM,MTUM
2015-04-07,VLUE,VLUE
2015-04-07,USMV,USMV
2015-04-07,EFA,EFA
2015-04-08,SPY,SPY
2015-04-08,MTUM,MTUM
2015-04-08,VLUE,VLUE
2015-04-08,USMV,USMV
2015-04-08,EFA,EFA
2015-04-09,SPY,SPY
2015-04-09,MTUM,MTUM
2015-04-09,VLUE,VLUE
2015-04-09,USMV,USMV
2015-04-09,EFA,EFA
2015-04-10,SPY,SPY
2015-04-10,MTUM,MTUM
2015-04-10,VLUE,VLUE
2015-04-10,USMV,USMV
2015-04-10,EFA,EFA
2015-04-13,SPY,SPY
2015-04-13,MTUM,MTUM
2015-04-13,VLUE,VLUE
2015-04-13,USMV,USMV
2015-04-13,EFA,EFA
2015-04-14,SPY,SPY
2015-04-14,MTUM,MTUM
2015-04-14,VLUE,VLUE
2015-04-14,USMV,USMV
2015-04-14,EFA,EFA
2015-04-15,SPY,SPY
2015-04-15,MTUM,MTUM
2015-04-15,VLUE,VLUE
2015-04-15,USMV,USMV
2015-04-15,EFA,EFA
2015-04-16,SPY,SPY
2015-04-16,MTUM,MTUM
2015-04-16,VLUE,VLUE
2015-04-16,USMV,USMV
2015-04-16,EFA,EFA
2015-04-17,SPY,SPY
2015-04-17,MTUM,MTUM
2015-04-17,VLUE,VLUE
2015-04-17,USMV,USMV
2015-04-17,EFA,EFA
2015-04-20,SPY,SPY
2015-04-20,MTUM,MTUM
2015-04-20,VLUE,VLUE
2015-04-20,USMV,USMV
2015-04-20,EFA,EFA
2015-04-21,SPY,SPY
2015-04-21,MTUM,MTUM
2015-04-21,VLUE,VLUE
2015-04-21,USMV,USMV
2015-04-21,EFA,EFA
2015-04-22,SPY,SPY
2015-04-22,MTUM,MTUM
2015-04-22,VLUE,VLUE
2015-04-22,USMV,USMV
2015-04-22,EFA,EFA
2015-04-23,SPY,SPY
2015-04-23,MTUM,MTUM
2015-04-23,VLUE,VLUE
2015-04-23,USMV,USMV
2015-04-23,EFA,EFA
2015-04-24,SPY,SPY
2015-04-24,MTUM,MTUM
2015-04-24,VLUE,VLUE
2015-04-24,USMV,USMV
2015-04-24,EFA,EFA
2015-04-27,SPY,SPY
2015-04-27,MTUM,MTUM
2015-04-27,VLUE,VLUE
2015-04-27,USMV,USMV
2015-04-27,EFA,EFA
2015-04-28,SPY,SPY
2015-04-28,MTUM,MTUM
2015-04-28,VLUE,VLUE
2015-04-28,USMV,USMV
2015-04-28,EFA,EFA
2015-04-29,SPY,SPY
2015-04-29,MTUM,MTUM
2015-04-29,VLUE,VLUE
2015-04-29,USMV,USMV
2015-04-29,EFA,EFA
2015-04-30,SPY,SPY
2015-04-30,MTUM,MTUM
2015-04-30,VLUE,VLUE
2015-04-30,USMV,USMV
2015-04-30,EFA,EFA
2015-05-01,SPY,SPY
2015-05-01,MTUM,MTUM
2015-05-01,VLUE,VLUE
2015-05-01,USMV,USMV
2015-05-01,EFA,EFA
2015-05-04,SPY,SPY
2015-05-04,MTUM,MTUM
2015-05-04,VLUE,VLUE
2015-05-04,USMV,USMV
2015-05-04,EFA,EFA
2015-05-05,SPY,SPY
2015-05-05,MTUM,MTUM
2015-05-05,VLUE,VLUE
2015-05-05,USMV,USMV
2015-05-05,EFA,EFA
2015-05-06,SPY,SPY
2015-05-06,MTUM,MTUM
2015-05-06,VLUE,VLUE
2015-05-06,USMV,USMV
2015-05-06,EFA,EFA
2015-05-07,SPY,SPY
2015-05-07,MTUM,MTUM
2015-05-07,VLUE,VLUE
2015-05-07,USMV,USMV
2015-05-07,EFA,EFA
2015-05-08,SPY,SPY
2015-05-08,MTUM,MTUM
2015-05-08,VLUE,VLUE
2015-05-08,USMV,USMV
2015-05-08,EFA,EFA
2015-05-11,SPY,SPY
2015-05-11,MTUM,MTUM
2015-05-11,VLUE,VLUE
2015-05-11,USMV,USMV
2015-05-11,EFA,EFA
2015-05-12,SPY,SPY
2015-05-12,MTUM,MTUM
2015-05-12,VLUE,VLUE
2015-05-12,USMV,USMV
2015-05-12,EFA,EFA
2015-05-13,SPY,SPY
2015-05-13,MTUM,MTUM
2015-05-13,VLUE,VLUE
2015-05-13,USMV,USMV
2015-05-13,EFA,EFA
2015-05-14,SPY,SPY
2015-05-14,MTUM,MTUM
2015-05-14,VLUE,VLUE
2015-05-14,USMV,USMV
2015-05-14,EFA,EFA
2015-05-15,SPY,SPY
2015-05-15,MTUM,MTUM
2015-05-15,VLUE,VLUE
2015-05-15,USMV,USMV
2015-05-15,EFA,EFA
2015-05-18,SPY,SPY
2015-05-18,MTUM,MTUM
2015-05-18,VLUE,VLUE
2015-05-18,USMV,USMV
2015-05-18,EFA,EFA
2015-05-19,SPY,SPY
2015-05-19,MTUM,MTUM
2015-05-19,VLUE,VLUE
2015-05-19,USMV,USMV
2015-05-19,EFA,EFA
2015-05-20,SPY,SPY
2015-05-20,MTUM,MTUM
2015-05-20,VLUE,VLUE
2015-05-20,USMV,USMV
2015-05-20,EFA,EFA
2015-05-21,SPY,SPY
2015-05-21,MTUM,MTUM
2015-05-21,VLUE,VLUE
2015-05-21,USMV,USMV
2015-05-21,EFA,EFA
2015-05-22,SPY,SPY
2015-05-22,MTUM,MTUM
2015-05-22,VLUE,VLUE
2015-05-22,USMV,USMV
2015-05-22,EFA,EFA
2015-05-26,SPY,SPY
2015-05-26,MTUM,MTUM
2015-05-26,VLUE,VLUE
2015-05-26,USMV,USMV
2015-05-26,EFA,EFA
2015-05-27,SPY,SPY
2015-05-27,MTUM,MTUM
2015-05-27,VLUE,VLUE
2015-05-27,USMV,USMV
2015-05-27,EFA,EFA
2015-05-28,SPY,SPY
2015-05-28,MTUM,MTUM
2015-05-28,VLUE,VLUE
2015-05-28,USMV,USMV
2015-05-28,EFA,EFA
2015-05-29,SPY,SPY
2015-05-29,MTUM,MTUM
2015-05-29,VLUE,VLUE
2015-05-29,USMV,USMV
2015-05-29,EFA,EFA
2015-06-01,SPY,SPY
2015-06-01,MTUM,MTUM
2015-06-01,VLUE,VLUE
2015-06-01,USMV,USMV
2015-06-01,EFA,EFA
2015-06-02,SPY,SPY
2015-06-02,MTUM,MTUM
2015-06-02,VLUE,VLUE
2015-06-02,USMV,USMV
2015-06-02,EFA,EFA
2015-06-03,SPY,SPY
2015-06-03,MTUM,MTUM
2015-06-03,VLUE,VLUE
2015-06-03,USMV,USMV
2015-06-03,EFA,EFA
2015-06-04,SPY,SPY
2015-06-04,MTUM,MTUM
2015-06-04,VLUE,VLUE
2015-06-04,USMV,USMV
2015-06-04,EFA,EFA
2015-06-05,SPY,SPY
2015-06-05,MTUM,MTUM
2015-06-05,VLUE,VLUE
2015-06-05,USMV,USMV
2015-06-05,EFA,EFA
2015-06-08,SPY,SPY
2015-06-08,MTUM,MTUM
2015-06-08,VLUE,VLUE
2015-06-08,USMV,USMV
2015-06-08,EFA,EFA
2015-06-09,SPY,SPY
2015-06-09,MTUM,MTUM
2015-06-09,VLUE,VLUE
2015-06-09,USMV,USMV
2015-06-09,EFA,EFA
2015-06-10,SPY,SPY
2015-06-10,MTUM,MTUM
2015-06-10,VLUE,VLUE
2015-06-10,USMV,USMV
2015-06-10,EFA,EFA
2015-06-11,SPY,SPY
2015-06-11,MTUM,MTUM
2015-06-11,VLUE,VLUE
2015-06-11,USMV,USMV
2015-06-11,EFA,EFA
2015-06-12,SPY,SPY
2015-06-12,MTUM,MTUM
2015-06-12,VLUE,VLUE
2015-06-12,USMV,USMV
2015-06-12,EFA,EFA
2015-06-15,SPY,SPY
2015-06-15,MTUM,MTUM
2015-06-15,VLUE,VLUE
2015-06-15,USMV,USMV
2015-06-15,EFA,EFA
2015-06-16,SPY,SPY
2015-06-16,MTUM,MTUM
2015-06-16,VLUE,VLUE
2015-06-16,USMV,USMV
2015-06-16,EFA,EFA
2015-06-17,SPY,SPY
2015-06-17,MTUM,MTUM
2015-06-17,VLUE,VLUE
2015-06-17,USMV,USMV
2015-06-17,EFA,EFA
2015-06-18,SPY,SPY
2015-06-18,MTUM,MTUM
2015-06-18,VLUE,VLUE
2015-06-18,USMV,USMV
2015-06-18,EFA,EFA
2015-06-19,SPY,SPY
2015-06-19,MTUM,MTUM
2015-06-19,VLUE,VLUE
2015-06-19,USMV,USMV
2015-06-19,EFA,EFA
2015-06-22,SPY,SPY
2015-06-22,MTUM,MTUM
2015-06-22,VLUE,VLUE
2015-06-22,USMV,USMV
2015-06-22,EFA,EFA
2015-06-23,SPY,SPY
2015-06-23,MTUM,MTUM
2015-06-23,VLUE,VLUE
2015-06-23,USMV,USMV
2015-06-23,EFA,EFA
2015-06-24,SPY,SPY
2015-06-24,MTUM,MTUM
2015-06-24,VLUE,VLUE
2015-06-24,USMV,USMV
2015-06-24,EFA,EFA
2015-06-25,SPY,SPY
2015-06-25,MTUM,MTUM
2015-06-25,VLUE,VLUE
2015-06-25,USMV,USMV
2015-06-25,EFA,EFA
2015-06-26,SPY,SPY
2015-06-26,MTUM,MTUM
2015-06-26,VLUE,VLUE
2015-06-26,USMV,USMV
2015-06-26,EFA,EFA
2015-06-29,SPY,SPY
2015-06-29,MTUM,MTUM
2015-06-29,VLUE,VLUE
2015-06-29,USMV,USMV
2015-06-29,EFA,EFA
2015-06-30,SPY,SPY
2015-06-30,MTUM,MTUM
2015-06-30,VLUE,VLUE
2015-06-30,USMV,USMV
2015-06-30,EFA,EFA
2015-07-01,SPY,SPY
2015-07-01,MTUM,MTUM
2015-07-01,VLUE,VLUE
2015-07-01,USMV,USMV
2015-07-01,EFA,EFA
2015-07-02,SPY,SPY
2015-07-02,MTUM,MTUM
2015-07-02,VLUE,VLUE
2015-07-02,USMV,USMV
2015-07-02,EFA,EFA
2015-07-06,SPY,SPY
2015-07-06,MTUM,MTUM
2015-07-06,VLUE,VLUE
2015-07-06,USMV,USMV
2015-07-06,EFA,EFA
2015-07-07,SPY,SPY
2015-07-07,MTUM,MTUM
2015-07-07,VLUE,VLUE
2015-07-07,USMV,USMV
2015-07-07,EFA,EFA
2015-07-08,SPY,SPY
2015-07-08,MTUM,MTUM
2015-07-08,VLUE,VLUE
2015-07-08,USMV,USMV
2015-07-08,EFA,EFA
2015-07-09,SPY,SPY
2015-07-09,MTUM,MTUM
2015-07-09,VLUE,VLUE
2015-07-09,USMV,USMV
2015-07-09,EFA,EFA
2015-07-10,SPY,SPY
2015-07-10,MTUM,MTUM
2015-07-10,VLUE,VLUE
2015-07-10,USMV,USMV
2015-07-10,EFA,EFA
2015-07-13,SPY,SPY
2015-07-13,MTUM,MTUM
2015-07-13,VLUE,VLUE
2015-07-13,USMV,USMV
2015-07-13,EFA,EFA
2015-07-14,SPY,SPY
2015-07-14,MTUM,MTUM
2015-07-14,VLUE,VLUE
2015-07-14,USMV,USMV
2015-07-14,EFA,EFA
2015-07-15,SPY,SPY
2015-07-15,MTUM,MTUM
2015-07-15,VLUE,VLUE
2015-07-15,USMV,USMV
2015-07-15,EFA,EFA
2015-07-16,SPY,SPY
2015-07-16,MTUM,MTUM
2015-07-16,VLUE,VLUE
2015-07-16,USMV,USMV
2015-07-16,EFA,EFA
2015-07-17,SPY,SPY
2015-07-17,MTUM,MTUM
2015-07-17,VLUE,VLUE
2015-07-17,USMV,USMV
2015-07-17,EFA,EFA
2015-07-20,SPY,SPY
2015-07-20,MTUM,MTUM
2015-07-20,VLUE,VLUE
2015-07-20,USMV,USMV
2015-07-20,EFA,EFA
2015-07-21,SPY,SPY
2015-07-21,MTUM,MTUM
2015-07-21,VLUE,VLUE
2015-07-21,USMV,USMV
2015-07-21,EFA,EFA
2015-07-22,SPY,SPY
2015-07-22,MTUM,MTUM
2015-07-22,VLUE,VLUE
2015-07-22,USMV,USMV
2015-07-22,EFA,EFA
2015-07-23,SPY,SPY
2015-07-23,MTUM,MTUM
2015-07-23,VLUE,VLUE
2015-07-23,USMV,USMV
2015-07-23,EFA,EFA
2015-07-24,SPY,SPY
2015-07-24,MTUM,MTUM
2015-07-24,VLUE,VLUE
2015-07-24,USMV,USMV
2015-07-24,EFA,EFA
2015-07-27,SPY,SPY
2015-07-27,MTUM,MTUM
2015-07-27,VLUE,VLUE
2015-07-27,USMV,USMV
2015-07-27,EFA,EFA
2015-07-28,SPY,SPY
2015-07-28,MTUM,MTUM
2015-07-28,VLUE,VLUE
2015-07-28,USMV,USMV
2015-07-28,EFA,EFA
2015-07-29,SPY,SPY
2015-07-29,MTUM,MTUM
2015-07-29,VLUE,VLUE
2015-07-29,USMV,USMV
2015-07-29,EFA,EFA
2015-07-30,SPY,SPY
2015-07-30,MTUM,MTUM
2015-07-30,VLUE,VLUE
2015-07-30,USMV,USMV
2015-07-30,EFA,EFA
2015-07-31,SPY,SPY
2015-07-31,MTUM,MTUM
2015-07-31,VLUE,VLUE
2015-07-31,USMV,USMV
2015-07-31,EFA,EFA
2015-08-03,SPY,SPY
2015-08-03,MTUM,MTUM
2015-08-03,VLUE,VLUE
2015-08-03,USMV,USMV
2015-08-03,EFA,EFA
2015-08-04,SPY,SPY
2015-08-04,MTUM,MTUM
2015-08-04,VLUE,VLUE
2015-08-04,USMV,USMV
2015-08-04,EFA,EFA
2015-08-05,SPY,SPY
2015-08-05,MTUM,MTUM
2015-08-05,VLUE,VLUE
2015-08-05,USMV,USMV
2015-08-05,EFA,EFA
2015-08-06,SPY,SPY
2015-08-06,MTUM,MTUM
2015-08-06,VLUE,VLUE
2015-08-06,USMV,USMV
2015-08-06,EFA,EFA
2015-08-07,SPY,SPY
2015-08-07,MTUM,MTUM
2015-08-07,VLUE,VLUE
2015-08-07,USMV,USMV
2015-08-07,EFA,EFA
2015-08-10,SPY,SPY
2015-08-10,MTUM,MTUM
2015-08-10,VLUE,VLUE
2015-08-10,USMV,USMV
2015-08-10,EFA,EFA
2015-08-11,SPY,SPY
2015-08-11,MTUM,MTUM
2015-08-11,VLUE,VLUE
2015-08-11,USMV,USMV
2015-08-11,EFA,EFA
2015-08-12,SPY,SPY
2015-08-12,MTUM,MTUM
2015-08-12,VLUE,VLUE
2015-08-12,USMV,USMV
2015-08-12,EFA,EFA
2015-08-13,SPY,SPY
2015-08-13,MTUM,MTUM
2015-08-13,VLUE,VLUE
2015-08-13,USMV,USMV
2015-08-13,EFA,EFA
2015-08-14,SPY,SPY
2015-08-14,MTUM,MTUM
2015-08-14,VLUE,VLUE
2015-08-14,USMV,USMV
2015-08-14,EFA,EFA
2015-08-17,SPY,SPY
2015-08-17,MTUM,MTUM
2015-08-17,VLUE,VLUE
2015-08-17,USMV,USMV
2015-08-17,EFA,EFA
2015-08-18,SPY,SPY
2015-08-18,MTUM,MTUM
2015-08-18,VLUE,VLUE
2015-08-18,USMV,USMV
2015-08-18,EFA,EFA
2015-08-19,SPY,SPY
2015-08-19,MTUM,MTUM
2015-08-19,VLUE,VLUE
2015-08-19,USMV,USMV
2015-08-19,EFA,EFA
2015-08-20,SPY,SPY
2015-08-20,MTUM,MTUM
2015-08-20,VLUE,VLUE
2015-08-20,USMV,USMV
2015-08-20,EFA,EFA
2015-08-21,SPY,SPY
2015-08-21,MTUM,MTUM
2015-08-21,VLUE,VLUE
2015-08-21,USMV,USMV
2015-08-21,EFA,EFA
2015-08-24,SPY,SPY
2015-08-24,MTUM,MTUM
2015-08-24,VLUE,VLUE
2015-08-24,USMV,USMV
2015-08-24,EFA,EFA
2015-08-25,SPY,SPY
2015-08-25,MTUM,MTUM
2015-08-25,VLUE,VLUE
2015-08-25,USMV,USMV
2015-08-25,EFA,EFA
2015-08-26,SPY,SPY
2015-08-26,MTUM,MTUM
2015-08-26,VLUE,VLUE
2015-08-26,USMV,USMV
2015-08-26,EFA,EFA
2015-08-27,SPY,SPY
2015-08-27,MTUM,MTUM
2015-08-27,VLUE,VLUE
